fips,county,state,longitude,latitude,recent_two_weeks_cases_total,type,count_2wk
,Allegan,Michigan,-85.8883,42.5913,0,imported,0.0
,Allegan,Michigan,-85.8883,42.5913,0,local,0.0
,Allen,Indiana,-85.0665,41.0909,0,imported,0.0
,Allen,Indiana,-85.0665,41.0909,0,local,0.0
,Allen,Ohio,-84.1058,40.7715,0,imported,0.0
,Allen,Ohio,-84.1058,40.7715,0,local,0.0
,Anchorage,Alaska,-149.1082,61.1498,0,imported,0.0
,Anchorage,Alaska,-149.1082,61.1498,0,local,0.0
,Andrews,Texas,-102.6377,32.305,0,imported,0.0
,Andrews,Texas,-102.6377,32.305,0,local,0.0
,Arapahoe,Colorado,-104.3393,39.6498,0,imported,0.0
,Arapahoe,Colorado,-104.3393,39.6498,0,local,0.0
,Archuleta,Colorado,-107.0483,37.1935,0,imported,0.0
,Archuleta,Colorado,-107.0483,37.1935,0,local,0.0
,Ashtabula,Ohio,-80.7482,41.7072,0,imported,0.0
,Ashtabula,Ohio,-80.7482,41.7072,0,local,0.0
,Atascosa,Texas,-98.5272,28.8935,0,imported,0.0
,Atascosa,Texas,-98.5272,28.8935,0,local,0.0
,Bailey,Texas,-102.8299,34.0686,0,imported,0.0
,Bailey,Texas,-102.8299,34.0686,0,local,0.0
,Bell,Texas,-97.4788,31.0373,1,imported,0.0
,Bell,Texas,-97.4788,31.0373,1,local,1.0
,Benton,Arkansas,-94.2561,36.3387,1,imported,0.0
,Benton,Arkansas,-94.2561,36.3387,1,local,1.0
,Bergen,New Jersey,-74.0742,40.9597,0,imported,0.0
,Bergen,New Jersey,-74.0742,40.9597,0,local,0.0
,Borden,Texas,-101.4317,32.7436,0,imported,0.0
,Borden,Texas,-101.4317,32.7436,0,local,0.0
,Boulder,Colorado,-105.3577,40.0925,1,imported,1.0
,Boulder,Colorado,-105.3577,40.0925,1,local,0.0
,Brazoria,Texas,-95.4521,29.1898,0,imported,0.0
,Brazoria,Texas,-95.4521,29.1898,0,local,0.0
,Brewster,Texas,-103.2517,29.8119,0,imported,0.0
,Brewster,Texas,-103.2517,29.8119,0,local,0.0
,Broward,Florida,-80.4871,26.1523,0,imported,0.0
,Broward,Florida,-80.4871,26.1523,0,local,0.0
,Brown,Texas,-98.9998,31.7742,0,imported,0.0
,Brown,Texas,-98.9998,31.7742,0,local,0.0
,Bucks,Pennsylvania,-75.1069,40.337,0,imported,0.0
,Bucks,Pennsylvania,-75.1069,40.337,0,local,0.0
,Burke,North Dakota,-102.5182,48.791,0,imported,0.0
,Burke,North Dakota,-102.5182,48.791,0,local,0.0
,Carson,Texas,-101.3542,35.4035,0,imported,0.0
,Carson,Texas,-101.3542,35.4035,0,local,0.0
,Cass,North Dakota,-97.248,46.933,0,imported,0.0
,Cass,North Dakota,-97.248,46.933,0,local,0.0
,Central,Iowa,-93.40754375,41.84471875,0,imported,0.0
,Central,Iowa,-93.40754375,41.84471875,0,local,0.0
,Chaves,New Mexico,-104.4669,33.3633,0,imported,0.0
,Chaves,New Mexico,-104.4669,33.3633,0,local,0.0
,Cochran,Texas,-102.8285,33.6042,0,imported,0.0
,Cochran,Texas,-102.8285,33.6042,0,local,0.0
,Collin,Texas,-96.5724,33.188,0,imported,0.0
,Collin,Texas,-96.5724,33.188,0,local,0.0
,Cook,Illinois,-87.8168,41.8401,0,imported,0.0
,Cook,Illinois,-87.8168,41.8401,0,local,0.0
,Curry,New Mexico,-103.347,34.5742,0,imported,0.0
,Curry,New Mexico,-103.347,34.5742,0,local,0.0
,Cuyahoga,Ohio,-81.6586,41.4243,0,imported,0.0
,Cuyahoga,Ohio,-81.6586,41.4243,0,local,0.0
,Dakota,Minnesota,-93.0654,44.6719,0,imported,0.0
,Dakota,Minnesota,-93.0654,44.6719,0,local,0.0
,Dallam,Texas,-102.6022,36.2779,0,imported,0.0
,Dallam,Texas,-102.6022,36.2779,0,local,0.0
,Dallas,Texas,-96.7778,32.7666,1,imported,0.0
,Dallas,Texas,-96.7778,32.7666,1,local,1.0
,Dawson,Texas,-101.9476,32.7426,0,imported,0.0
,Dawson,Texas,-101.9476,32.7426,0,local,0.0
,Defiance,Ohio,-84.4905,41.3239,0,imported,0.0
,Defiance,Ohio,-84.4905,41.3239,0,local,0.0
,Denton,Texas,-97.1168,33.2055,0,imported,0.0
,Denton,Texas,-97.1168,33.2055,0,local,0.0
,Denver,Colorado,-104.8758,39.762,0,imported,0.0
,Denver,Colorado,-104.8758,39.762,0,local,0.0
,Dona Ana,New Mexico,-106.8328,32.3526,0,imported,0.0
,Dona Ana,New Mexico,-106.8328,32.3526,0,local,0.0
,Eastern,Iowa,-91.64545556,41.92909259,4,imported,1.0
,Eastern,Iowa,-91.64545556,41.92909259,4,local,3.0
,Eastland,Texas,-98.8323,32.3271,0,imported,0.0
,Eastland,Texas,-98.8323,32.3271,0,local,0.0
,Ector,Texas,-102.5429,31.8692,0,imported,0.0
,Ector,Texas,-102.5429,31.8692,0,local,0.0
,Eddy,New Mexico,-104.3044,32.4714,0,imported,0.0
,Eddy,New Mexico,-104.3044,32.4714,0,local,0.0
,El Paso,Colorado,-104.5254,38.8321,0,imported,0.0
,El Paso,Colorado,-104.5254,38.8321,0,local,0.0
,El Paso,Texas,-106.2348,31.7686,0,imported,0.0
,El Paso,Texas,-106.2348,31.7686,0,local,0.0
,Erath,Texas,-98.2179,32.2363,0,imported,0.0
,Erath,Texas,-98.2179,32.2363,0,local,0.0
,Erie,Pennsylvania,-80.0327,41.9925,0,imported,0.0
,Erie,Pennsylvania,-80.0327,41.9925,0,local,0.0
,Fannin,Texas,-96.1069,33.5938,1,imported,0.0
,Fannin,Texas,-96.1069,33.5938,1,local,1.0
,Faulkner,Arkansas,-92.332,35.147,0,imported,0.0
,Faulkner,Arkansas,-92.332,35.147,0,local,0.0
,Flathead,Montana,-114.0497,48.2951,0,imported,0.0
,Flathead,Montana,-114.0497,48.2951,0,local,0.0
,Fort Bend,Texas,-95.7709,29.5275,0,imported,0.0
,Fort Bend,Texas,-95.7709,29.5275,0,local,0.0
,Franklin,Kentucky,-84.877,38.2392,0,imported,0.0
,Franklin,Kentucky,-84.877,38.2392,0,local,0.0
,Franklin,Ohio,-83.0093,39.9695,0,imported,0.0
,Franklin,Ohio,-83.0093,39.9695,0,local,0.0
,Fresno,California,-119.6493,36.7582,0,imported,0.0
,Fresno,California,-119.6493,36.7582,0,local,0.0
,Fulton,Georgia,-84.467,33.7902,1,imported,0.0
,Fulton,Georgia,-84.467,33.7902,1,local,1.0
,Gaines,Texas,-102.6352,32.7408,2,imported,0.0
,Gaines,Texas,-102.6352,32.7408,2,local,2.0
,Gallatin,Montana,-111.1704,45.5404,3,imported,0.0
,Gallatin,Montana,-111.1704,45.5404,3,local,3.0
,Garza,Texas,-101.2984,33.1799,0,imported,0.0
,Garza,Texas,-101.2984,33.1799,0,local,0.0
,Grand Forks,North Dakota,-97.4569,47.9219,0,imported,0.0
,Grand Forks,North Dakota,-97.4569,47.9219,0,local,0.0
,Grand Traverse,Michigan,-85.5605,44.6687,3,imported,0.0
,Grand Traverse,Michigan,-85.5605,44.6687,3,local,3.0
,Gray,Kansas,-100.4379,37.7382,1,imported,0.0
,Gray,Kansas,-100.4379,37.7382,1,local,1.0
,Hale,Texas,-101.8269,34.0705,0,imported,0.0
,Hale,Texas,-101.8269,34.0705,0,local,0.0
,Hardeman,Texas,-99.7457,34.2902,0,imported,0.0
,Hardeman,Texas,-99.7457,34.2902,0,local,0.0
,Harris,Texas,-95.3938,29.8578,0,imported,0.0
,Harris,Texas,-95.3938,29.8578,0,local,0.0
,Harrison,Texas,-94.3715,32.5481,0,imported,0.0
,Harrison,Texas,-94.3715,32.5481,0,local,0.0
,Haskell,Kansas,-100.8712,37.5622,5,imported,0.0
,Haskell,Kansas,-100.8712,37.5622,5,local,5.0
,Hays,Texas,-98.0312,30.0579,0,imported,0.0
,Hays,Texas,-98.0312,30.0579,0,local,0.0
,Hennepin,Minnesota,-93.477,45.0046,0,imported,0.0
,Hennepin,Minnesota,-93.477,45.0046,0,local,0.0
,Hill,Montana,-110.1112,48.6282,0,imported,0.0
,Hill,Montana,-110.1112,48.6282,0,local,0.0
,Hockley,Texas,-102.3432,33.6076,0,imported,0.0
,Hockley,Texas,-102.3432,33.6076,0,local,0.0
,Holmes,Ohio,-81.9293,40.5612,0,imported,0.0
,Holmes,Ohio,-81.9293,40.5612,0,local,0.0
,Honolulu,Hawaii,-158.0739,21.4899,0,imported,0.0
,Honolulu,Hawaii,-158.0739,21.4899,0,local,0.0
,Howard,Maryland,-76.9312,39.2507,0,imported,0.0
,Howard,Maryland,-76.9312,39.2507,0,local,0.0
,Ingham,Michigan,-84.3735,42.5971,0,imported,0.0
,Ingham,Michigan,-84.3735,42.5971,0,local,0.0
,Kenai Peninsula,Alaska,-151.5651,60.2654,0,imported,0.0
,Kenai Peninsula,Alaska,-151.5651,60.2654,0,local,0.0
,Kent,Michigan,-85.5493,43.0322,0,imported,0.0
,Kent,Michigan,-85.5493,43.0322,0,local,0.0
,King,Washington,-121.8052,47.4902,0,imported,0.0
,King,Washington,-121.8052,47.4902,0,local,0.0
,Kiowa,Kansas,-99.2861,37.5582,0,imported,0.0
,Kiowa,Kansas,-99.2861,37.5582,0,local,0.0
,Knox,Ohio,-82.4215,40.3988,0,imported,0.0
,Knox,Ohio,-82.4215,40.3988,0,local,0.0
,Lamar,Texas,-95.5712,33.6673,2,imported,0.0
,Lamar,Texas,-95.5712,33.6673,2,local,2.0
,Lamb,Texas,-102.3517,34.0686,0,imported,0.0
,Lamb,Texas,-102.3517,34.0686,0,local,0.0
,Lamoille,Vermont,-72.6419,44.607,0,imported,0.0
,Lamoille,Vermont,-72.6419,44.607,0,local,0.0
,Lancaster,Pennsylvania,-76.2477,40.0424,0,imported,0.0
,Lancaster,Pennsylvania,-76.2477,40.0424,0,local,0.0
,Lea,New Mexico,-103.4125,32.7921,0,imported,0.0
,Lea,New Mexico,-103.4125,32.7921,0,local,0.0
,Leon,Florida,-84.2779,30.458,0,imported,0.0
,Leon,Florida,-84.2779,30.458,0,local,0.0
,Los Angeles,California,-118.2247,34.3219,0,imported,0.0
,Los Angeles,California,-118.2247,34.3219,0,local,0.0
,Lubbock,Texas,-101.8205,33.6102,0,imported,0.0
,Lubbock,Texas,-101.8205,33.6102,0,local,0.0
,Lynn,Texas,-101.8161,33.1768,0,imported,0.0
,Lynn,Texas,-101.8161,33.1768,0,local,0.0
,Macomb,Michigan,-82.9323,42.6957,1,imported,0.0
,Macomb,Michigan,-82.9323,42.6957,1,local,1.0
,Marquette,Michigan,-87.6416,46.4313,0,imported,0.0
,Marquette,Michigan,-87.6416,46.4313,0,local,0.0
,Martin,Texas,-101.9513,32.306,0,imported,0.0
,Martin,Texas,-101.9513,32.306,0,local,0.0
,McLennan,Texas,-97.2018,31.5524,1,imported,0.0
,McLennan,Texas,-97.2018,31.5524,1,local,1.0
,Meade,South Dakota,-102.7169,44.5668,0,imported,0.0
,Meade,South Dakota,-102.7169,44.5668,0,local,0.0
,Miami-Dade,Florida,-80.5624,25.615,0,imported,0.0
,Miami-Dade,Florida,-80.5624,25.615,0,local,0.0
,Mid-Cumberland Region,Tennessee,-87.0033,36.2448,0,imported,0.0
,Mid-Cumberland Region,Tennessee,-87.0033,36.2448,0,local,0.0
,Midland,Texas,-102.0316,31.8691,0,imported,0.0
,Midland,Texas,-102.0316,31.8691,0,local,0.0
,Montcalm,Michigan,-85.1525,43.311,0,imported,0.0
,Montcalm,Michigan,-85.1525,43.311,0,local,0.0
,Montgomery,Pennsylvania,-75.3673,40.2108,0,imported,0.0
,Montgomery,Pennsylvania,-75.3673,40.2108,0,local,0.0
,Navajo,Arizona,-110.3214,35.3996,0,imported,0.0
,Navajo,Arizona,-110.3214,35.3996,0,local,0.0
,New Madrid,Missouri,-89.6517,36.5946,0,imported,0.0
,New Madrid,Missouri,-89.6517,36.5946,0,local,0.0
,New York,New York,-73.9668,40.7792,0,imported,0.0
,New York,New York,-73.9668,40.7792,0,local,0.0
,Northwest Region,Virginia,-78.1659225,38.47988218,0,imported,0.0
,Northwest Region,Virginia,-78.1659225,38.47988218,0,local,0.0
,Oakland,Michigan,-83.3858,42.6604,0,imported,0.0
,Oakland,Michigan,-83.3858,42.6604,0,local,0.0
,Ontario,New York,-77.2998,42.8528,0,imported,0.0
,Ontario,New York,-77.2998,42.8528,0,local,0.0
,Orange,California,-117.7609,33.7031,0,imported,0.0
,Orange,California,-117.7609,33.7031,0,local,0.0
,Orange,New York,-74.3056,41.4022,0,imported,0.0
,Orange,New York,-74.3056,41.4022,0,local,0.0
,Orleans,Louisiana,-89.9289,30.0687,0,imported,0.0
,Orleans,Louisiana,-89.9289,30.0687,0,local,0.0
,Parmer,Texas,-102.7845,34.5301,0,imported,0.0
,Parmer,Texas,-102.7845,34.5301,0,local,0.0
,Pawnee,Kansas,-99.2367,38.1813,0,imported,0.0
,Pawnee,Kansas,-99.2367,38.1813,0,local,0.0
,Pennington,South Dakota,-102.8238,44.0037,0,imported,0.0
,Pennington,South Dakota,-102.8238,44.0037,0,local,0.0
,Philadelphia,Pennsylvania,-75.1339,40.0077,0,imported,0.0
,Philadelphia,Pennsylvania,-75.1339,40.0077,0,local,0.0
