State,Imported,Local,Total,Recent 2 Weeks
U.S.,86,1085,1171,77
Texas,0,777,777,26
New Mexico,0,81,81,2
Kansas,0,72,72,13
North Dakota,6,28,34,4
Ohio,6,28,34,0
Montana,7,12,19,8
Oklahoma,0,16,16,2
California,12,2,14,2
Colorado,10,4,14,9
New York,3,10,13,1
Pennsylvania,6,7,13,0
Illinois,1,9,10,0
Michigan,5,5,10,2
Indiana,0,8,8,0
Arkansas,2,5,7,0
Tennessee,0,6,6,0
Washington,5,1,6,0
Georgia,2,3,5,1
Minnesota,3,1,4,2
Alaska,2,1,3,0
Maryland,3,0,3,0
New Jersey,1,2,3,0
Virginia,2,1,3,2
Florida,0,2,2,0
Hawaii,2,0,2,0
Kentucky,2,0,2,0
Louisiana,1,1,2,0
Missouri,1,1,2,0
South Dakota,1,1,2,2
Iowa,0,1,1,0
Nebraska,1,0,1,1
Rhode Island,1,0,1,0
Vermont,1,0,1,0
