week_start,KS_cases,NM_cases,TX_cases
2025-01-05 00:00:00,0,0,0
2025-01-12 00:00:00,0,0,0
2025-01-19 00:00:00,0,0,9
2025-01-26 00:00:00,1,0,33
2025-02-02 00:00:00,2,0,58
2025-02-09 00:00:00,2,14,107
2025-02-16 00:00:00,2,20,177
2025-02-23 00:00:00,3,28,237
2025-03-02 00:00:00,4,34,305
2025-03-09 00:00:00,11,40,369
2025-03-16 00:00:00,20,43,450
2025-03-23 00:00:00,26,49,518
2025-03-30 00:00:00,33,59,587
2025-04-06 00:00:00,38,64,642
2025-04-13 00:00:00,40,65,686
2025-04-20 00:00:00,48,67,709
2025-04-27 00:00:00,51,72,732
2025-05-04 00:00:00,60,75,743
2025-05-11 00:00:00,61,77,751
2025-05-18 00:00:00,71,79,766
2025-05-25 00:00:00,73,81,778
2025-06-01 00:00:00,76,81,781
2025-06-08 00:00:00,79,81,781
2025-06-15 00:00:00,79,81,782
